step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,log_amount,hour,is_night,is_weekend,sender_freq,receiver_freq,orig_is_merchant,dest_is_merchant,orig_balance_change,dest_balance_change,sender_error,receiver_error,total_balance_error,amount_to_oldbalance_orig_ratio,amount_to_oldbalance_dest_ratio,Suspicious_ZeroOrig_AmountPos,Suspicious_DestNoIncrease,HighAmount_AND_NewOrigin,ZeroOrig_and_HighAmount,IsNight_AND_HighAmount,Both_NewAccounts,Empties_Origin_Account,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,amount_x_error
1,181.0,181.0,0.0,0.0,0.0,1,5.204006687076795,1,1,0,1,3,0,0,-181.0,0.0,0.0,181.0,181.0,1.0,0.0,0,1,0,0,0,0,1,False,False,False,False,True,32761.0
1,181.0,181.0,0.0,21182.0,0.0,1,5.204006687076795,1,1,0,1,1,0,0,-181.0,-21182.0,0.0,21363.0,21363.0,1.0,0.008544991030119914,0,1,0,0,0,1,1,False,True,False,False,False,3866703.0
1,2806.0,2806.0,0.0,0.0,0.0,1,7.939871576361883,1,1,0,1,1,0,0,-2806.0,0.0,0.0,2806.0,2806.0,1.0,0.0,0,1,0,0,0,1,1,False,False,False,False,True,7873636.0
1,2806.0,2806.0,0.0,26202.0,0.0,1,7.939871576361883,1,1,0,1,1,0,0,-2806.0,-26202.0,0.0,29008.0,29008.0,1.0,0.10709106175101138,0,1,0,0,0,1,1,False,True,False,False,False,81396448.0
1,20128.0,20128.0,0.0,0.0,0.0,1,9.909916840301031,1,1,0,1,1,0,0,-20128.0,0.0,0.0,20128.0,20128.0,1.0,0.0,0,1,0,0,0,1,1,False,False,False,False,True,405136384.0
1,20128.0,20128.0,0.0,6268.0,12145.85,1,9.909916840301031,1,1,0,1,4,0,0,-20128.0,5877.85,0.0,14250.15,14250.15,1.0,3.2112316528398215,0,0,0,0,0,0,1,False,True,False,False,False,286827019.2
1,416001.33,0.0,0.0,102.0,9291619.62,1,12.938446140189253,1,1,0,1,28,0,0,0.0,9291517.62,416001.33,8875516.29,9291517.62,0.0,4078.444411764706,1,0,0,0,0,0,1,False,True,False,False,False,3865283687638.4346
1,1277212.77,1277212.77,0.0,0.0,0.0,1,14.060191521161451,1,1,0,1,1,0,0,-1277212.77,0.0,0.0,1277212.77,1277212.77,1.0,0.0,0,1,1,0,1,1,1,False,False,False,False,True,1631272459851.073
1,1277212.77,1277212.77,0.0,0.0,2444985.19,1,14.060191521161451,1,1,0,1,31,0,0,-1277212.77,2444985.19,0.0,1167772.42,1167772.42,1.0,0.0,0,0,1,0,1,0,1,False,True,False,False,False,1491493847277.8032
1,35063.63,35063.63,0.0,0.0,0.0,1,10.464948209083028,1,1,0,1,1,0,0,-35063.63,0.0,0.0,35063.63,35063.63,1.0,0.0,0,1,0,0,0,1,1,False,False,False,False,True,1229458148.7768998
1,35063.63,35063.63,0.0,31140.0,7550.03,1,10.464948209083028,1,1,0,1,4,0,0,-35063.63,-23589.97,0.0,58653.600000000006,58653.600000000006,1.0,1.125999678869621,0,1,0,0,0,0,1,False,True,False,False,False,2056608128.568
1,25071.46,25071.46,0.0,0.0,0.0,1,10.129525311587674,1,1,0,1,1,0,0,-25071.46,0.0,0.0,25071.46,25071.46,1.0,0.0,0,1,0,0,0,1,1,False,False,False,False,True,628578106.5316
1,25071.46,25071.46,0.0,9083.76,34155.22,1,10.129525311587674,1,1,0,1,5,0,0,-25071.46,25071.46,0.0,0.0,0.0,1.0,2.7600310884479553,0,0,0,0,0,0,1,False,True,False,False,False,0.0
1,132842.64,4499.08,0.0,0.0,132842.64,1,11.796928076500397,1,1,0,1,6,0,0,-4499.08,132842.64,128343.56000000001,0.0,128343.56000000001,29.526623220747357,0.0,0,0,0,0,0,0,1,False,True,False,False,False,17049497337.398403
1,235238.66,235238.66,0.0,0.0,0.0,1,12.368360103240422,1,1,0,1,2,0,0,-235238.66,0.0,0.0,235238.66,235238.66,1.0,0.0,0,1,0,0,0,1,1,False,False,False,False,True,55337227158.595604
1,235238.66,235238.66,0.0,0.0,235238.66,1,12.368360103240422,1,1,0,1,4,0,0,-235238.66,235238.66,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,False,True,False,False,False,0.0
2,1096187.24,1096187.24,0.0,0.0,0.0,1,13.907349483567259,2,1,0,1,1,0,0,-1096187.24,0.0,0.0,1096187.24,1096187.24,1.0,0.0,0,1,1,0,1,1,1,False,False,False,False,True,1201626465138.8176
2,1096187.24,1096187.24,0.0,0.0,1096187.24,1,13.907349483567259,2,1,0,1,12,0,0,-1096187.24,1096187.24,0.0,0.0,0.0,1.0,0.0,0,0,1,0,1,0,1,False,True,False,False,False,0.0
2,963532.14,963532.14,0.0,0.0,0.0,1,13.778362161678364,2,1,0,1,1,0,0,-963532.14,0.0,0.0,963532.14,963532.14,1.0,0.0,0,1,1,0,1,1,1,False,False,False,False,True,928394184812.9796
